Size,EntryBar,ExitBar,EntryPrice,ExitPrice,SL,TP,PnL,ReturnPct,EntryTime,ExitTime,Duration,Tag,Entry_λ(C),Exit_λ(C),Entry__calculat…(C),Exit__calculat…(C)
11,28,126,84195.92,86721.7976,83353.9608,86721.7976,27784.653600000078,0.030000000000000027,2025-04-01 15:00:00,2025-04-02 15:30:00,1 days 00:30:00,,83855.63845437209,85540.94059913303,61.36613016714961,77.0990570792983
11,135,145,86579.99,85714.1901,,89177.38970000001,-9523.79889999998,-0.010000000000000009,2025-04-02 17:45:00,2025-04-02 20:15:00,0 days 02:30:00,,86321.48427842354,86470.47083355403,63.19699030496289,38.84990053214358
12,168,208,83761.63,82924.00379999999,,86274.4686,-10051.51440000016,-0.01000011819254254,2025-04-03 02:00:00,2025-04-03 12:00:00,0 days 10:00:00,,83731.30847093057,83345.58382309075,75.05702174771012,29.913290503557292
12,226,518,82289.52,81466.6248,,84758.2056,-9874.742399999988,-0.010000000000000009,2025-04-03 16:30:00,2025-04-06 17:30:00,3 days 01:00:00,,82234.49579590469,82233.2459047252,51.48266176947164,18.896171576644917
12,549,556,78860.0,78071.4,,81225.8,-9463.20000000007,-0.01000000000000012,2025-04-07 01:15:00,2025-04-07 03:00:00,0 days 01:45:00,,78704.73257630659,78650.5738221253,50.69948743229487,47.813272321710045
12,579,581,76646.51,75880.0548,,78945.91560000001,-9197.46239999996,-0.009999870835606162,2025-04-07 08:45:00,2025-04-07 09:15:00,0 days 00:30:00,,76319.26832490155,76295.31692809402,40.40868349642302,42.93841303055124
12,583,598,76638.0,75871.6101,,78937.1297,-9196.678799999936,-0.010000129178736272,2025-04-07 09:45:00,2025-04-07 13:30:00,0 days 03:45:00,,76322.86746268012,76789.84442237632,55.052062009670934,39.57033894070228
12,600,601,78365.48,80716.4341,77581.8153,80716.4341,28211.449200000032,0.02999986856457726,2025-04-07 14:00:00,2025-04-07 14:15:00,0 days 00:15:00,,77189.89981060737,77278.02363816857,64.66757152305391,56.57371906587655
12,602,611,78115.2,77334.048,,80458.656,-9373.824000000022,-0.010000000000000009,2025-04-07 14:30:00,2025-04-07 16:45:00,0 days 02:15:00,,77413.44043453346,77866.72774053409,58.71450189433683,52.61830268746464
12,613,647,78244.0,80591.3303,77461.56989999999,80591.3303,28167.963600000017,0.03000013163948667,2025-04-07 17:15:00,2025-04-08 01:45:00,0 days 08:30:00,,77966.40515721726,79499.4403425894,51.19064365785659,61.070120494718424
